"";"Peso(kg)";"Talla(mts)";"tallasentado(cms)";"Pli.Biceps";"Pli.Tric";"Pli.Subesca";"Pli.Crestailiaca";"pli.Supraespinal";"Pli.Abd";"Pli.Muslo";"Pli.Pantorrilla";"Peri.Brazorelax";"Peri.Brazoflex";"Peri.Cintura";"Peri.Cadera";"Peri.Pantorrilla";"Diam.Humeral";"Diam.Femoral";"wells1";"wells2";"wells3";"Dina.der1";"Dina.Izq1";"Dina.der2";"Dina.Izq2";"SaltoH1";"SaltoH2";"20mtetros1";"20mtetros2";"Agilidad1";"Agilidad2";"Leger";"Sexo";"Estrato";"Edad"
"2032";53,6;1,635;80,9;6;9;7;17;9;14;14;10;24,3;24,5;68,1;86;33,6;6,7;10;-3;0;1;20;20;22;23;155;160;3,8;3,92;10,65;11,28;6,5;"masculino";2;13
"2033";44,4;1,512;76,9;6;10;9;12;9;17;18;11;22,8;24,5;65,1;76,2;29,8;9,3;9,3;2;1;0;20;20;18;18;146;146;4,28;4,37;13,06;12,41;4,5;"masculino";2;13
"2034";32;1,372;69,8;5;7;7;12;7;14;17;7;19,9;22,1;61;68,5;27,8;5,7;8;-13,5;-12;-11,5;18;20;17;18;119;125;4,28;4,53;12,06;12,12;6,5;"masculino";2;12
"2035";49,1;1,494;75,6;7;9;14;19;11;19;14;11;24;24,1;74,2;83,1;32,4;6,7;9;-2;-1;-1;22;24;22;22;170;171;4,03;4;12,6;12,9;5;"masculino";2;14
"2036";39,1;1,374;71,4;9;20;14;33;17;24;24;17;23,9;24,8;65,5;77,9;32;5,9;8,7;-2;1,5;-0,5;12;12;12;12;106;113;4,53;5,25;13,88;14,25;3,5;"masculino";2;12
"2037";43,8;1,486;74,6;10;21;11;32;16;26;29;16;23,4;24,1;68,3;82;29,4;6,2;9,2;-9,5;-6;-6,5;18;14;18;15;156;164;4,19;4,19;12,25;12,25;4;"masculino";2;12
"2038";33,4;1,143;72;4;9;7;10;6;9;14;7;19,8;21,8;57;67;27;5,5;8,5;1,5;1,5;1,5;18;15;16;16;166;142;3,81;3,84;12,28;11,78;8;"masculino";2;13
"2039";31,2;1,447;71,1;3;7;5;6;4;7;12;5;18,9;20,9;54,5;65,2;25,1;5,7;8,5;-7;-5,5;-5;16;15;18;16;127;132;4,09;4,1;12;12,07;6;"masculino";2;13
"2040";58,7;1,735;89,7;7;14;14;23;20;28;26;11;24;26;71;90;31,6;6,7;9,7;0;0;2;32;28;32;28;147;160;4,25;4,16;16,5;13,31;4,5;"masculino";2;14
"2041";37,2;1,439;74,7;7;13;9;20;10;14;19;13;22,6;23,1;62,2;77,8;28,9;5,9;8,2;-2,5;-6,5;-5;18;16;16;16;128;122;4,47;4,25;13,1;12,44;4;"masculino";2;13
"2042";54,9;1,589;79,9;7;14;10;18;13;19;20;12;23,5;25,7;69,4;87,7;33,5;6,5;9,5;-7,5;-3;-3,5;22;21;22;22;126;163;4,19;4,34;12,6;12,25;7;"masculino";2;14
"2043";42,9;1,521;75,6;4;9;8;15;7;11;16;7;23;24,4;67,2;77,5;31;6,4;9,2;-3,5;-3,5;-6,5;23;26;24;23;164;164;3,96;4,1;12,45;11,09;5,5;"masculino";2;14
"2044";51,5;1,505;76,4;8;19;15;39;18;23;25;22;28,4;29,7;70;90,1;34,2;6,7;9;-7,5;-1,5;1,5;28;22;26;20;122;133;4,54;4,56;14,66;12,1;2;"masculino";2;12
"2045";39,6;1,439;73,3;6;16;10;15;10;18;21;13;22;24,4;61,5;76,1;30,6;6,1;8,7;-9,5;-6;-2,5;22;20;22;18;113;134;4,47;4,59;12,3;13,03;3;"masculino";3;12
"2046";40,6;1,559;76,7;8;10;9;16;6;12;18;9;21,7;22,8;69,1;75,1;29;6;8,7;0;0;2,5;20;18;21;16;137;130;4,06;4,22;13,57;12,53;7,5;"masculino";1;14
"2047";41,4;1,476;74,3;9;13;10;21;10;21;26;12;21,1;22,1;65,9;76,8;30;6,3;9,1;-8;-5;-7;18;16;17;16;129;130;4,25;4,21;12,81;12,66;6;"masculino";2;12
"2048";39,8;1,578;77;9;15;9;18;11;18;14;11;21;21,1;59,1;78,4;26,2;6,2;7,8;5,5;6;4,5;14;20;15;20;106;91;4,87;4,75;15,22;15,09;2,5;"femenino";2;12
"2049";45,4;1,607;82;6;14;11;14;9;15;23;12;22,7;24,5;61;79,9;30,9;6;8,2;-1;3;5;27;28;29;27;170;140;4,22;4,43;13,2;13,19;4;"femenino";2;14
"2050";26,7;1,332;66,1;3;4;7;7;5;7;10;7;17,2;18,3;53,9;64;24,7;5,2;7,4;-4;-1,5;-0,5;15;14;14;14;120;104;4,65;4,44;14;13,41;4;"femenino";2;12
"2051";50,6;1,716;86,9;4;9;7;13;8;13;12;9;21,6;24,5;63,9;79,1;32;6,9;10,1;-7;-5;-5;28;28;29;30;137;150;4,4;4,57;13,06;13,78;6;"masculino";2;14
"2052";35,8;1,476;75,1;4;12;8;15;7;9;12;6;20,3;20;57,8;74;28,5;5,7;7,9;3,5;6,5;6,5;16;18;17;16;130;122;4,5;4,47;15,47;13,97;3;"femenino";2;12
"2053";52,8;1,643;84,3;5;14;10;16;10;14;13;8;25,7;26,8;66,6;85,3;33;7,2;9,7;-2,5;5;5;32;30;30;29;170;167;3,86;3,7;12,2;12,1;7;"masculino";1;13
"2054";32,7;1,447;72,8;7;15;9;16;12;16;20;12;20,2;20,9;56,8;71;26,2;5,5;7,7;-0,5;-0,5;2,5;10;11;11;10;116;112;4,94;4,88;16,81;14,97;3;"femenino";2;12
"2055";38,6;1,472;76,5;6;14;9;14;8;13;18;13;23;22,1;60,4;81,5;30,1;6,2;8,2;10;11;13;18;18;17;18;153;158;4,62;4,53;16,25;17,56;4,5;"femenino";2;13
"2056";51,6;1,635;82,7;7;16;8;15;8;15;14;10;23,2;25,2;66,3;81,3;32,8;6,7;10;3,5;2;4,5;29;30;29;30;168;189;3,91;3,94;14,82;13;5,5;"masculino";2;14
"2057";40;1,514;75,3;3;11;7;9;6;10;13;6;20,5;21,9;60,45;62;30,5;6,5;8,7;1,5;4;7;15;15;18;18;154;169;4,06;4,13;11,78;11,22;4,5;"masculino";2;14
"2058";44,5;1,556;77,2;5;12;7;13;8;15;21;13;22,2;24,2;66,7;74,5;30,8;6,6;9,3;-9,5;-6,5;-7,5;20;19;18;19;165;174;4,28;4,18;14,63;12,69;4;"masculino";2;11
"2059";54;1,61;80,5;11;17;20;40;22;30;26;19;35,4;35,2;78,3;84,7;32,5;6,4;9,4;-10;-9;-12;18;18;18;17;130;117;4,84;4,78;14,38;13,35;3;"masculino";2;11
"2060";46,1;1,501;76,1;10;23;15;25;20;26;29;22;24,2;25;66;68,9;32;5,9;8,8;-9;-10,5;-8;16;18;14;14;129;128;4,81;4,91;13,97;14,09;2,5;"masculino";2;11
"2061";29,1;1,246;68,1;6;10;7;14;6;9;10;5;19,9;20,2;60,2;68,1;27,6;5,5;8,2;4,5;3,5;4,5;13;12;12;14;149;148;4,72;4,5;15,53;13,9;4;"masculino";3;11
"2062";34,8;1,459;70,1;8;13;9;18;10;21;21;14;20;21,2;62,5;71,5;28,2;5,7;8,4;-8,5;-9;-10;15;16;16;15;112;125;4,56;4,72;13,4;14,1;2,5;"masculino";2;13
"2063";30,6;1,395;70,6;3;5;4;6;4;5;8;5;19;20,4;56,6;67,9;36,6;5,8;8;1;2,5;2;20;20;20;19;200;200;4,06;4;12,62;12,96;5,5;"masculino";2;12
"2064";41,8;1,475;72,1;6;13;8;10;6;14;14;10;22,7;23,8;66,3;76;30,5;6;9,2;3,5;6;3,5;22;27;24;24;190;206;4,28;3,97;12,94;12,37;5,5;"masculino";2;12
"2065";36,4;1,417;70,6;5;15;8;17;10;12;13;6;22,4;23,6;60,1;75,6;28,5;6;8,2;-1;-1;0,5;15;18;18;17;160;150;4,22;4,25;12,22;12,8;5,5;"masculino";2;12
"2066";46,4;1,658;82,3;3;7;7;9;7;9;12;7;21;24;62,9;74,4;29,9;6,4;9,2;1;0,5;-1;21;22;22;22;156;154;4,25;4,4;13,72;13;6;"masculino";1;13
"2067";52;1,525;78,3;8;21;12;37;26;27;27;27;26,4;26,2;72;87,4;35,2;6,1;9,2;7,5;9,5;8;20;16;20;16;135;149;4,5;4,44;12,72;12,75;3,5;"masculino";3;11
"2068";35,7;1,411;73;7;14;8;19;11;15;17;12;20,9;23;57,7;69;29,2;5,8;8,5;0,5;1,5;4,5;14;14;17;17;147;150;4,31;4,47;14,22;12,35;6;"masculino";2;11
